student_no,knowledge_code,attempted_at,is_correct,sequence
20260001,support_vector_machine,2026-03-27T03:48:00+00:00,False,1
20260001,lasso_regression,2026-05-03T03:03:00+00:00,True,2
20260001,simple_linear_regression,2026-06-15T10:05:00+00:00,True,3
20260001,parameter_estimation,2026-04-12T19:25:00+00:00,True,4
20260001,principal_component_analysis,2026-04-20T01:03:00+00:00,False,5
20260001,multiple_linear_regression,2026-05-16T11:09:00+00:00,True,6
20260001,regression_diagnostics,2026-04-12T23:33:00+00:00,False,7
20260001,gradient_boosting,2026-03-17T10:23:00+00:00,False,8
20260001,probability_distributions,2026-04-06T22:09:00+00:00,True,9
20260001,discriminant_analysis,2026-03-22T09:36:00+00:00,True,10
20260001,cross_validation,2026-04-20T22:24:00+00:00,True,11
20260001,decision_tree,2026-04-30T21:50:00+00:00,True,12
20260001,simple_linear_regression,2026-06-02T18:52:00+00:00,True,13
20260001,support_vector_machine,2026-05-05T23:31:00+00:00,True,14
20260001,regression_diagnostics,2026-03-23T11:38:00+00:00,False,15
20260001,support_vector_machine,2026-04-25T21:51:00+00:00,True,16
20260001,knn,2026-05-18T09:00:00+00:00,True,17
20260001,generalized_linear_model,2026-05-06T15:28:00+00:00,False,18
20260001,descriptive_statistics,2026-06-05T19:34:00+00:00,False,19
20260001,gradient_boosting,2026-06-05T14:32:00+00:00,False,20
20260001,discriminant_analysis,2026-05-18T03:49:00+00:00,False,21
20260001,simple_linear_regression,2026-05-12T04:07:00+00:00,False,22
20260001,discriminant_analysis,2026-06-02T09:59:00+00:00,True,23
20260001,bias_variance,2026-04-05T14:55:00+00:00,True,24
20260001,roc_auc,2026-04-20T19:40:00+00:00,True,25
20260001,principal_component_analysis,2026-02-22T04:19:00+00:00,False,26
20260001,generalized_linear_model,2026-04-12T14:10:00+00:00,False,27
20260001,simple_linear_regression,2026-04-07T17:06:00+00:00,True,28
20260001,classification_metrics,2026-06-01T16:05:00+00:00,False,29
20260001,linear_algebra,2026-05-19T10:31:00+00:00,True,30
20260002,generalized_linear_model,2026-04-10T02:58:00+00:00,False,1
20260002,logistic_regression,2026-04-05T12:57:00+00:00,False,2
20260002,decision_tree,2026-04-23T08:00:00+00:00,False,3
20260002,ridge_regression,2026-04-10T10:09:00+00:00,False,4
20260002,simple_linear_regression,2026-03-24T09:19:00+00:00,True,5
20260002,random_forest,2026-04-02T12:27:00+00:00,True,6
20260002,knn,2026-04-21T09:32:00+00:00,True,7
20260002,logistic_regression,2026-03-16T01:18:00+00:00,True,8
20260002,ridge_regression,2026-03-04T23:20:00+00:00,False,9
20260002,simple_linear_regression,2026-05-03T02:26:00+00:00,False,10
20260002,logistic_regression,2026-04-18T18:49:00+00:00,False,11
20260002,knn,2026-04-23T12:45:00+00:00,False,12
20260002,ridge_regression,2026-03-08T16:52:00+00:00,False,13
20260002,random_forest,2026-06-10T04:05:00+00:00,True,14
20260002,discriminant_analysis,2026-03-25T17:44:00+00:00,False,15
20260002,logistic_regression,2026-03-04T01:21:00+00:00,False,16
20260002,simple_linear_regression,2026-05-27T05:52:00+00:00,False,17
20260002,knn,2026-04-21T17:34:00+00:00,False,18
20260002,bias_variance,2026-03-31T11:34:00+00:00,True,19
20260002,probability_distributions,2026-05-10T21:14:00+00:00,False,20
20260002,sampling_distribution,2026-03-26T06:31:00+00:00,True,21
20260002,sampling_distribution,2026-04-30T19:29:00+00:00,True,22
20260002,random_forest,2026-06-12T05:20:00+00:00,False,23
20260002,parameter_estimation,2026-03-13T08:58:00+00:00,True,24
20260002,multiple_linear_regression,2026-05-23T16:03:00+00:00,False,25
20260002,ridge_regression,2026-03-02T02:50:00+00:00,False,26
20260002,linear_algebra,2026-03-27T01:02:00+00:00,False,27
20260002,linear_algebra,2026-06-12T07:29:00+00:00,False,28
20260002,lasso_regression,2026-06-13T06:37:00+00:00,False,29
20260002,classification_metrics,2026-03-17T12:21:00+00:00,False,30
20260002,discriminant_analysis,2026-04-30T21:15:00+00:00,False,31
20260002,lasso_regression,2026-03-17T07:17:00+00:00,False,32
20260002,hypothesis_testing,2026-04-04T23:43:00+00:00,False,33
20260003,ridge_regression,2026-02-24T17:58:00+00:00,True,1
20260003,simple_linear_regression,2026-04-04T15:44:00+00:00,False,2
20260003,regression_diagnostics,2026-03-16T13:14:00+00:00,True,3
20260003,random_forest,2026-03-12T10:18:00+00:00,False,4
20260003,gradient_boosting,2026-03-13T13:15:00+00:00,True,5
20260003,roc_auc,2026-05-01T00:19:00+00:00,True,6
20260003,support_vector_machine,2026-03-12T07:55:00+00:00,False,7
20260003,linear_algebra,2026-06-14T07:25:00+00:00,True,8
20260003,classification_metrics,2026-05-09T05:16:00+00:00,True,9
20260003,knn,2026-05-12T04:24:00+00:00,False,10
20260003,principal_component_analysis,2026-02-25T00:44:00+00:00,True,11
20260003,gradient_boosting,2026-04-28T04:52:00+00:00,False,12
20260003,discriminant_analysis,2026-04-20T20:31:00+00:00,True,13
20260003,regression_diagnostics,2026-05-03T19:30:00+00:00,True,14
20260003,random_forest,2026-06-02T23:55:00+00:00,True,15
20260003,decision_tree,2026-04-27T12:13:00+00:00,True,16
20260003,roc_auc,2026-06-05T11:46:00+00:00,False,17
20260003,gradient_boosting,2026-02-19T12:13:00+00:00,False,18
20260003,multiple_linear_regression,2026-05-19T09:44:00+00:00,True,19
20260003,regression_diagnostics,2026-06-02T21:24:00+00:00,False,20
20260003,bias_variance,2026-05-30T12:30:00+00:00,False,21
20260003,gradient_boosting,2026-03-21T11:03:00+00:00,False,22
20260003,decision_tree,2026-04-21T01:17:00+00:00,False,23
20260003,feature_standardization,2026-06-14T04:14:00+00:00,False,24
20260003,cross_validation,2026-04-15T10:42:00+00:00,True,25
20260003,classification_metrics,2026-04-27T10:22:00+00:00,True,26
20260003,random_forest,2026-05-13T08:38:00+00:00,False,27
20260003,cross_validation,2026-05-09T12:43:00+00:00,False,28
20260003,cross_validation,2026-05-03T18:07:00+00:00,True,29
20260003,simple_linear_regression,2026-03-28T16:51:00+00:00,True,30
20260003,ridge_regression,2026-02-26T22:49:00+00:00,False,31
20260003,random_forest,2026-06-11T16:33:00+00:00,True,32
20260003,discriminant_analysis,2026-03-25T14:59:00+00:00,True,33
20260003,linear_algebra,2026-05-11T14:08:00+00:00,True,34
